      Lon      Lat    Year   Stand   Patch     Veg    Repr    Soil    Fire     Est       NEE
   -71.25   -32.75    1975     133       2  -0.287   0.029   0.219   0.003   0.000  -0.03685
   -71.25   -32.75    1975     133       3  -0.353   0.035   0.332   0.012   0.000   0.02583
   -71.25   -32.75    1975     133       4  -0.466   0.047   0.391   0.019  -0.001  -0.01022
   -71.25   -32.75    1975     134       0  -0.334   0.033   0.364   0.004   0.000   0.06778
   -71.25   -32.75    1975     134       1  -0.431   0.043   0.405   0.041  -0.001   0.05747
   -71.25   -32.75    1975     134       2  -0.319   0.032   0.294   0.003   0.000   0.00967
   -71.25   -32.75    1975     134       3  -0.275   0.028   0.312   0.000   0.000   0.06387
   -71.25   -32.75    1975     134       4  -0.367   0.037   0.297   0.008   0.000  -0.02570
   -71.25   -32.75    1975     140       0  -0.422   0.042   0.396   0.016  -0.011   0.02129
   -71.25   -32.75    1975     140       1  -0.276   0.028   0.237   0.004   0.000  -0.00795
   -71.25   -32.75    1975     140       2  -0.100   0.010   0.215   0.002   0.000   0.12635
   -71.25   -32.75    1975     140       3  -0.378   0.038   0.444   0.007  -0.011   0.09896
   -71.25   -32.75    1975     140       4  -0.441   0.044   0.412   0.029   0.000   0.04441
   -71.25   -32.75    1975     160       0  -0.488   0.049   0.307   0.023   0.000  -0.10873
   -71.25   -32.75    1975     160       1  -0.350   0.035   0.250   0.006   0.000  -0.05902
   -71.25   -32.75    1975     160       2  -0.416   0.042   0.338   0.018  -0.004  -0.02257
   -71.25   -32.75    1975     160       3  -0.278   0.028   0.256   0.010   0.000   0.01586
   -71.25   -32.75    1975     160       4  -0.296   0.030   0.236   0.011   0.000  -0.02024
   -71.25   -32.75    1976       0       0  -0.299   0.030   0.230   0.021   0.000  -0.01848
   -71.25   -32.75    1976       0       1  -0.366   0.037   0.458   0.062  -0.008   0.18193
   -71.25   -32.75    1976       0       2  -0.397   0.040   0.262   0.016   0.000  -0.07919
   -71.25   -32.75    1976       0       3  -0.314   0.031   0.224   0.000   0.000  -0.05890
   -71.25   -32.75    1976       0       4  -0.246   0.025   0.207   0.000   0.000  -0.01429
   -71.25   -32.75    1976     110       0  -0.294   0.029   0.239   0.007   0.000  -0.01791
   -71.25   -32.75    1976     110       1  -0.302   0.030   0.309   0.016   0.000   0.05410
   -71.25   -32.75    1976     110       2  -0.445   0.044   0.312   0.027   0.000  -0.06093
   -71.25   -32.75    1976     110       3  -0.508   0.051   0.395   0.503  -0.004   0.43713
   -71.25   -32.75    1976     110       4  -0.268   0.027   0.244   0.010   0.000   0.01258
   -71.25   -32.75    1976     131       0  -0.345   0.035   0.321   0.034   0.000   0.04491
   -71.25   -32.75    1976     131       1  -0.515   0.051   0.381   0.053  -0.010  -0.04000
   -71.25   -32.75    1976     131       2  -0.316   0.032   0.235   0.010   0.000  -0.03908
   -71.25   -32.75    1976     131       3  -0.261   0.026   0.253   0.000   0.000   0.01828
   -71.25   -32.75    1976     131       4  -0.484   0.048   0.370   0.042   0.000  -0.02394
   -71.25   -32.75    1976     132       0  -0.357   0.036   0.257   0.022   0.000  -0.04224
   -71.25   -32.75    1976     132       1  -0.130   0.013   0.171   0.007   0.000   0.06104
   -71.25   -32.75    1976     132       2  -0.549   0.055   0.250   0.018   0.000  -0.22623
   -71.25   -32.75    1976     132       3  -0.234   0.023   0.207   0.018   0.000   0.01435
   -71.25   -32.75    1976     132       4  -0.486   0.049   0.275   0.027   0.000  -0.13489
   -71.25   -32.75    1976     133       0  -0.313   0.031   0.302   0.016   0.000   0.03662
   -71.25   -32.75    1976     133       1  -0.234   0.023   0.277   0.007  -0.055   0.01751
   -71.25   -32.75    1976     133       2  -0.258   0.026   0.248   0.397   0.000   0.41264
   -71.25   -32.75    1976     133       3  -0.317   0.032   0.319   0.028   0.000   0.06204
   -71.25   -32.75    1976     133       4  -0.481   0.048   0.368   0.036   0.000  -0.02853
   -71.25   -32.75    1976     134       0  -0.345   0.035   0.259   0.006  -0.055  -0.10124
   -71.25   -32.75    1976     134       1  -0.477   0.048   0.399   0.467   0.000   0.43670
   -71.25   -32.75    1976     134       2  -0.264   0.026   0.258   0.006   0.000   0.02674
   -71.25   -32.75    1976     134       3  -0.302   0.030   0.279   0.000   0.000   0.00663
   -71.25   -32.75    1976     134       4  -0.379   0.038   0.286   0.014   0.000  -0.04076
   -71.25   -32.75    1976     140       0  -0.416   0.042   0.375   0.044   0.000   0.04378
   -71.25   -32.75    1976     140       1  -0.262   0.026   0.223   0.007   0.000  -0.00570
   -71.25   -32.75    1976     140       2  -0.121   0.012   0.126   0.000   0.000   0.01729
   -71.25   -32.75    1976     140       3  -0.444   0.044   0.285   0.022   0.000  -0.09323
   -71.25   -32.75    1976     140       4  -0.505   0.050   0.402   0.039  -0.004  -0.01821
   -71.25   -32.75    1976     160       0  -0.444   0.044   0.307   0.329   0.000   0.23571
   -71.25   -32.75    1976     160       1  -0.366   0.037   0.242   0.012   0.000  -0.07485
   -71.25   -32.75    1976     160       2  -0.431   0.043   0.331   0.032   0.000  -0.02444
