      Lon      Lat    Year   Stand   Patch     dep     fix    fert    flux   leach     NEE
   -71.25   -32.75    1953     160       2   -0.49   -0.17   -0.00    4.95    0.02    4.31
   -71.25   -32.75    1953     160       3   -0.49   -1.48   -0.00   18.63    0.23   16.89
   -71.25   -32.75    1953     160       4   -0.49   -0.02   -0.00    0.41    0.27    0.17
   -71.25   -32.75    1954       0       0   -0.49   -0.79   -0.00    0.51    1.33    0.55
   -71.25   -32.75    1954       0       1   -0.49   -0.91   -0.00    1.66    1.15    1.40
   -71.25   -32.75    1954       0       2   -0.49   -0.92   -0.00    3.01    0.71    2.31
   -71.25   -32.75    1954       0       3   -0.49   -0.83   -0.00    1.32    1.09    1.09
   -71.25   -32.75    1954       0       4   -0.49   -0.71   -0.00    0.73    1.21    0.74
   -71.25   -32.75    1954     110       0   -0.49   -1.04   -0.00    1.01    0.23   -0.29
   -71.25   -32.75    1954     110       1   -0.49   -0.01   -0.00    0.65    0.08    0.22
   -71.25   -32.75    1954     110       2   -0.49   -0.01   -0.00    0.70    0.08    0.28
   -71.25   -32.75    1954     110       3   -0.49   -0.11   -0.00    0.55    0.06    0.00
   -71.25   -32.75    1954     110       4   -0.49   -0.49   -0.00   10.61    0.11    9.74
   -71.25   -32.75    1954     131       0   -0.49   -0.33   -0.00    1.97    0.05    1.20
   -71.25   -32.75    1954     131       1   -0.49   -0.09   -0.00    0.56    0.06    0.03
   -71.25   -32.75    1954     131       2   -0.49   -0.09   -0.00    0.66    0.07    0.14
   -71.25   -32.75    1954     131       3   -0.49   -0.38   -0.00    1.46    0.08    0.66
   -71.25   -32.75    1954     131       4   -0.49   -0.16   -0.00    1.14    0.06    0.55
   -71.25   -32.75    1954     132       0   -0.49   -0.13   -0.00    1.18    0.07    0.63
   -71.25   -32.75    1954     132       1   -0.49   -0.15   -0.00    0.51    0.07   -0.07
   -71.25   -32.75    1954     132       2   -0.49   -0.12   -0.00    0.46    0.07   -0.09
   -71.25   -32.75    1954     132       3   -0.49   -0.13   -0.00    0.60    0.07    0.05
   -71.25   -32.75    1954     132       4   -0.49   -0.10   -0.00    0.45    0.07   -0.07
   -71.25   -32.75    1954     133       0   -0.49   -0.13   -0.00    1.10    0.06    0.54
   -71.25   -32.75    1954     133       1   -0.49   -0.26   -0.00    5.75    0.06    5.06
   -71.25   -32.75    1954     133       2   -0.49   -0.91   -0.00    2.04    0.68    1.32
   -71.25   -32.75    1954     133       3   -0.49   -0.32   -0.00    1.76    0.06    1.00
   -71.25   -32.75    1954     133       4   -0.49   -0.09   -0.00    0.59    0.06    0.07
   -71.25   -32.75    1954     134       0   -0.49   -0.16   -0.00    0.73    0.08    0.16
   -71.25   -32.75    1954     134       1   -0.49   -1.06   -0.00   14.44    1.39   14.28
   -71.25   -32.75    1954     134       2   -0.49   -0.44   -0.00    3.56    0.06    2.69
   -71.25   -32.75    1954     134       3   -0.49   -0.15   -0.00    0.62    0.08    0.06
   -71.25   -32.75    1954     134       4   -0.49   -0.02   -0.00    0.61    0.10    0.20
   -71.25   -32.75    1954     140       0   -0.49   -0.60   -0.00    3.47    0.07    2.45
   -71.25   -32.75    1954     140       1   -0.49   -0.39   -0.00    2.50    0.22    1.83
   -71.25   -32.75    1954     140       2   -0.49   -0.24   -0.00    0.36    0.73    0.36
   -71.25   -32.75    1954     140       3   -0.49   -0.03   -0.00    0.57    0.05    0.10
   -71.25   -32.75    1954     140       4   -0.49   -0.05   -0.00    0.63    0.06    0.14
   -71.25   -32.75    1954     160       0   -0.49   -0.36   -0.00    0.52    1.03    0.71
   -71.25   -32.75    1954     160       1   -0.49   -0.64   -0.00    3.35    0.08    2.29
   -71.25   -32.75    1954     160       2   -0.49   -0.54   -0.00    3.52    0.08    2.56
   -71.25   -32.75    1954     160       3   -0.49   -1.01   -0.00    4.59    1.97    5.05
   -71.25   -32.75    1954     160       4   -0.49   -0.24   -0.00    0.30    0.74    0.30
   -71.25   -32.75    1955       0       0   -0.49   -0.64   -0.00    0.78    0.69    0.34
   -71.25   -32.75    1955       0       1   -0.49   -1.03   -0.00    2.96    0.58    2.02
   -71.25   -32.75    1955       0       2   -0.49   -1.03   -0.00    4.92    0.20    3.60
   -71.25   -32.75    1955       0       3   -0.49   -1.06   -0.00    2.54    0.58    1.56
