      Lon      Lat    Year   Stand   Patch     dep     fix    fert   input    min    imm netmin  Total
   -71.25   -32.75    1955     131       1    0.49    0.19    0.00    0.68  78.82  40.40  38.42  39.11
   -71.25   -32.75    1955     131       2    0.49    0.20    0.00    0.69  90.07  42.07  48.00  48.70
   -71.25   -32.75    1955     131       3    0.49    0.78    0.00    1.27 160.92 101.65  59.27  60.54
   -71.25   -32.75    1955     131       4    0.49    0.37    0.00    0.86  82.00  46.56  35.44  36.30
   -71.25   -32.75    1955     132       0    0.49    0.29    0.00    0.78  80.52  45.51  35.01  35.79
   -71.25   -32.75    1955     132       1    0.49    0.32    0.00    0.81  72.19  37.54  34.65  35.46
   -71.25   -32.75    1955     132       2    0.49    0.24    0.00    0.73  65.69  35.14  30.56  31.29
   -71.25   -32.75    1955     132       3    0.49    0.29    0.00    0.78  79.89  43.74  36.15  36.93
   -71.25   -32.75    1955     132       4    0.49    0.30    0.00    0.79  67.48  37.78  29.69  30.49
   -71.25   -32.75    1955     133       0    0.49    0.26    0.00    0.75  88.01  47.42  40.58  41.34
   -71.25   -32.75    1955     133       1    0.49    0.29    0.00    0.78 133.99 122.06  11.93  12.71
   -71.25   -32.75    1955     133       2    0.49    1.29    0.00    1.78 104.02 104.63  -0.61   1.17
   -71.25   -32.75    1955     133       3    0.49    0.81    0.00    1.31  97.88  65.79  32.10  33.40
   -71.25   -32.75    1955     133       4    0.49    0.17    0.00    0.67  82.16  41.62  40.54  41.20
   -71.25   -32.75    1955     134       0    0.49    0.27    0.00    0.77  84.61  43.33  41.28  42.04
   -71.25   -32.75    1955     134       1    0.49    0.61    0.00    1.10 239.48 243.11  -3.63  -2.53
   -71.25   -32.75    1955     134       2    0.49    1.00    0.00    1.49 107.97  83.31  24.66  26.15
   -71.25   -32.75    1955     134       3    0.49    0.26    0.00    0.75  80.12  38.40  41.72  42.47
   -71.25   -32.75    1955     134       4    0.49    0.24    0.00    0.74  84.41  44.39  40.02  40.76
   -71.25   -32.75    1955     140       0    0.49    1.20    0.00    1.70 120.89  91.05  29.84  31.53
   -71.25   -32.75    1955     140       1    0.49    0.77    0.00    1.26 204.15 120.79  83.35  84.62
   -71.25   -32.75    1955     140       2    0.49    0.33    0.00    0.82  60.14  33.73  26.41  27.22
   -71.25   -32.75    1955     140       3    0.49    0.11    0.00    0.60  78.91  41.03  37.88  38.48
   -71.25   -32.75    1955     140       4    0.49    0.22    0.00    0.72  81.29  39.07  42.22  42.93
   -71.25   -32.75    1955     160       0    0.49    0.33    0.00    0.82  73.12  39.31  33.81  34.64
   -71.25   -32.75    1955     160       1    0.49    0.99    0.00    1.48 127.15 107.44  19.71  21.19
   -71.25   -32.75    1955     160       2    0.49    1.01    0.00    1.50 130.93  99.10  31.84  33.34
   -71.25   -32.75    1955     160       3    0.49    1.23    0.00    1.72 219.47 158.64  60.83  62.55
   -71.25   -32.75    1955     160       4    0.49    0.31    0.00    0.80  44.82  23.42  21.40  22.21
   -71.25   -32.75    1956       0       0    0.49    1.15    0.00    1.64  63.51  41.77  21.74  23.38
   -71.25   -32.75    1956       0       1    0.49    1.58    0.00    2.07  93.02  80.33  12.69  14.76
   -71.25   -32.75    1956       0       2    0.49    1.33    0.00    1.82 124.20  93.43  30.78  32.59
   -71.25   -32.75    1956       0       3    0.49    1.58    0.00    2.07  88.58  80.41   8.17  10.24
   -71.25   -32.75    1956       0       4    0.49    1.31    0.00    1.80  74.10  60.78  13.32  15.12
   -71.25   -32.75    1956     110       0    0.49    2.54    0.00    3.03 233.11 246.37 -13.26 -10.23
   -71.25   -32.75    1956     110       1    0.49    0.36    0.00    0.85  77.17  36.05  41.12  41.98
