      Lon      Lat    Year   Stand   Patch      NH3      NOx      N2O       N2    NSoil    Total
   -71.25   -32.75    1988     133       2    0.004    0.186    0.028    0.565    0.417    1.200
   -71.25   -32.75    1988     133       3    0.020    0.941    0.143    2.866    0.717    4.687
   -71.25   -32.75    1988     133       4    0.021    0.991    0.151    3.019    0.773    4.956
   -71.25   -32.75    1988     134       0    0.011    0.540    0.082    1.645    0.761    3.039
   -71.25   -32.75    1988     134       1    0.022    1.038    0.158    3.163    1.170    5.551
   -71.25   -32.75    1988     134       2    0.109    5.190    0.788   15.810    0.484   22.382
   -71.25   -32.75    1988     134       3    0.080    3.795    0.577   11.562    1.139   17.153
   -71.25   -32.75    1988     134       4    0.006    0.301    0.046    0.916    0.575    1.843
   -71.25   -32.75    1988     140       0    0.017    0.795    0.121    2.421    0.711    4.064
   -71.25   -32.75    1988     140       1    0.003    0.145    0.022    0.441    0.510    1.121
   -71.25   -32.75    1988     140       2    0.002    0.106    0.016    0.322    0.971    1.417
   -71.25   -32.75    1988     140       3    0.118    5.613    0.853   17.100    0.732   24.417
   -71.25   -32.75    1988     140       4    0.022    1.026    0.156    3.126    0.847    5.176
   -71.25   -32.75    1988     160       0    0.004    0.198    0.030    0.602    1.034    1.868
   -71.25   -32.75    1988     160       1    0.012    0.583    0.088    1.775    0.742    3.200
   -71.25   -32.75    1988     160       2    0.118    5.583    0.848   17.007    0.626   24.182
   -71.25   -32.75    1988     160       3    0.003    0.133    0.020    0.407    0.806    1.369
